hau_Latn	sentiment
Kyakkyawan fim da ya kwatanta abubuwan tarihi a masarautar Benin. ... Wannan fim din ya kasance mai matukar ilimi da ban sha'awa don kallo. Har yanzu ina cikin damuwa da cewa an yi shi a shekarar 2014.	positive
Kyakkyawan ra'ayi... wani labari mai ban sha'awa tare da masu wasan kwaikwayo masu basira.	positive
Wannan fim din yana da ban sha'awa da kuma jin dadi tun daga farko ban sami lahani ba, wataƙila gabatarwa ta ɗan ɗan yi ɗan wasa, amma wannan ɗanɗano ne kawai. wannan fim ɗin yana da haske amma yana da ma'ana. An ba da shawarar sosai!	positive
KOB shine fim na Nollywood na farko a gare ni a yanzu. Labarin ya bambanta kuma na gaske. Yana bayyana abin da ke faruwa a siyasa a gaskiya.	positive
Wannan fim ne mai kyau. Zan ba da shawarar ga kowa!	positive
Ina son wannan fim din. Zan ji daɗin kallon shi na shekaru masu zuwa da kuma tattaunawar da zai yi. . . . Yin wasan kwaikwayo yana da kyau sosai ba tare da wasan kwaikwayo ba kuma yana da ban mamaki.	positive
Ina son wannan fim din	positive
Fim Mai Kyau da Ƙananan Fasali	positive
Labari mai ban mamaki wanda ya nuna al'adun Najeriya. Labarin na musamman ne kuma ba za a iya hango shi ba kamar fim din Najeriya na yau da kullum.	positive
Dole ne a gani, labari mai ban sha'awa da kuma aiki mai kyau, babban haɗin gwiwa tare da Hollywood da Nollywood actors. Na ji dadin shi sosai.	positive
Fresh POV. . Ba irin fim din da muka saba da shi ba a Yammacin Duniya, amma samarwa ba kawai ya nuna labarin da za a ci gaba ba, har ma da launuka da al'adun yankin da aka yi a ciki.	positive
"""Citation"" ya fi dacewa idan ya yi ta cikin rashin amincewa da rashin amincewa da aka yi wa matashiyar jarida yayin da take magana, kuma ba a san ko tsarin zai yi aiki a madadinta ba har sai ƙarshe, abin damuwa."	positive
A cikin wani fim da ya kamata ya zama mini-series, mun bi wani dangantaka, wanda ya girma zuwa iyali, a tsawon shekaru 20 a Najeriya.	positive
A ƙarshe, mai kyau. ... wani shigarwa mai ƙarfi daga gidan haya na Ayo Makun wanda ya haɗu da ban dariya na gaske tare da ƙauna a zuciya. Dole ne a lura ga dukan 'yan Najeriya.	positive
Mafi kyawun fim din Najeriya da na taɓa gani. Wannan fim din yana da ban mamaki! Mai kirkira ne sosai kuma ba a iya hango shi ba. Ina son yadda labarin yake na yanzu kuma ya danganta da abin da ke faruwa a Najeriya a yanzu. Ayyukan wasan kwaikwayon sun kasance masu ban mamaki - Sola Sobowale labari ne!	positive
Kyakkyawan aiki ne: sabo ne, mai ban tsoro kuma mai matukar mutuntaka	positive
Kyakkyawan jerin. Ina matukar burgewa da wannan jerin. Yana da ban sha'awa da kuma nishadi.	positive
Ina son wannan fim din ... wannan fim din fim ne mai kyau kuma ina fata zai ci gaba da kasancewa kuma ina fata lokacin da za a fito da kakar wasa ta uku da ta huɗu .	positive
Wannan ita ce gaskiyar zama ɗan fari a cikin gidaje masu arziki na Afirka... wannan fim din ita ce gaskiyar gwagwarmayar zama mace a cikin yanayin Afirka da maza ke mamayewa da sarrafawa.	positive
Labari mai ban mamaki ... fim din yana da darussa masu yawa na ɗabi'a. Babban fassarar rawar da Zainab Balogun ya yi. Idan ka ɓace, wannan fim ɗin shine duk abin da kake buƙatar sake jagorantar hanyarka zuwa ga Allah.	positive
Wani fim mai ban tsoro ko kuma mai ban tsoro...	positive
A zahiri, sauti yana da kyau sosai, kuma fuskokin kyamarar da kuma fasahar su ba na kowa ba ne kuma suna da ban sha'awa.	positive
Mafi kyawun fim din Najeriya da aka gani a cikin dogon lokaci.	positive
Wannan labarin yana da ban sha'awa amma yana da ban sha'awa. ... wannan labarin yana da ban sha'awa sosai. Ina jin tausayi sosai ga Enitan, ba zan iya tunanin abin da ya sha wahala a lokacin yaro ba. Canjinsa yana da ban mamaki. A ƙarshen ƙarshe ya bayyana wanda Enitan yake, kuma na yi mamakin wannan wahayi. Yana kawo fim ɗin zuwa wani matakin ƙaruwar motsin rai.	positive
Wani fim mai ban mamaki, mai kyau da kuma kyakkyawan labarin.	positive
Romper Stomper tare da juyawa kuma kuma wasan kwaikwayo mai ban mamaki. ... Mafi kyawun fim din Skinhead na al'adu da aka yi a cikin shekaru... idan kuna son fina-finai kamar Romper Stomper, Wannan shine Ingila, A Clockwork Orange... tabbas kuna son wannan kuma idan kuna son wasan kwaikwayo da aka yi da kyau kuma... 'yan wasan kwaikwayo na farko suna samar da fim kuma daga kwarewar wasan kwaikwayo ma.... kyakkyawan abokin aiki.... yana son shi... yana da matukar bakin ciki cewa mutane suna daraja wannan wasan kwaikwayo a cikin nau'in fasaha daga ra'ayi na sirri, daga sabon shiga na yin fina-finai... jin daɗin mutane....	positive
A cikin duniyar da ake matsawa mata su yi kyau fiye da yadda suke, kuma su rayu fiye da yadda suke iya, wannan wasan kwaikwayon yana aiki a matsayin babban kayan aiki na ilimin kudi don jagorantar su cikin tsari mai kyau na kudaden su da kuma amfanin jinkirin gamsuwa. Oh, kuma yana da ban sha'awa ma!	positive
Yin amfani da karin magana, da kuma yin wasa da kalmomi, ya ba da abubuwa da yawa da za mu iya tunawa da su da kuma furcin da za su kasance a harshensu na dogon lokaci.	positive
Kyakkyawan labari ne na farko... wanda ba shi da wani sabon abu sai dai fim din Kirsimeti na farko a Najeriya.	positive
Wani fim mai kyau da kuma darasi mai kyau!. . . . Wannan fim ne game da wani wasan kwaikwayo na wasan kwaikwayo game da wani saurayi da yake so ya gyara abubuwa da hannunsa maimakon ya zauna a bayan ɗakin kwana.	positive
Bayyanawa yana ba mu wakilcin abin da ke faruwa a duniyar gaske ga babban kashi na matasa, musamman ɗalibai, kuma musamman waɗanda ke cikin mata.	positive
Crazy,Lovely,Cool... 'Yar wasan kwaikwayo ta Najeriya Adesua Etomi-wellington ta kawo ni wannan jerin talabijin kuma ban yi takaici ba, abin mamaki ne mai ban sha'awa ganin kyakkyawan aiki, rubutu mai kyau a saman ganin ta, duk manyan haruffa suna da mahimmanci kuma ba su wuce manyan haruffa ba, kowane labarin zai iya tsayawa a kan kansa tare da juyawa da kuma bayyanawa, idan kowa yana neman kyakkyawan kallo mai ban sha'awa ba za ku iya yin kuskure ba tare da wannan dutsen dutsen Najeriya	positive
Abin takaici ne, domin wannan zai iya zama mai ban sha'awa, amma a yanzu, lokaci ne na masu son yin wasan kwaikwayo.	positive
Na ji daɗin yin hakan, na yi farin ciki sosai, ba lokacin da na ɓata ba.	positive
Abin mamaki!! Girman wannan Nollywood Production!!	positive
Wani fim mai ban mamaki ... labari mai kyau, da aka faɗi da kuma nunawa. Duk abin da daga wurare zuwa kayan shafa, cast, kaya, har ma da harshe & da kuma nunin al'adu ya kasance kawai mai ban sha'awa.	positive
'Gold Statue' yana da kyau sosai. Yana alkawarin dutse na nishaɗi. Kuma tare da wannan dutsen, akwai koguna na inganci da kuma wani raƙuman ruwa na cikakkiyar wasan kwaikwayo. Wannan fim din yana da daraja kowane dinari da za ku kashe da kuma fiye.	positive
Ka sa hannunka kasa mafi kyawun fim din Najeriya da na taba gani..	positive
Kyakkyawan amma Kinda Cheesy. Na ji daɗin wannan asirin kisan kai daga Najeriya.	positive
Abin sha'awa... wannan fim din ya kasance mai ban sha'awa tun daga farko har zuwa ƙarshe.	positive
Abin da ake nufi da zama 'yan Najeriya ... mai kyau Genevieve Nnaji: fim don kowa ya gani. Kudos Naija, ci gaba da inganta.	positive
Matsala guda ɗaya kawai	positive
Lionheart fim ne mai ƙarfi wanda ke nuna jima'i a wurin aiki a Najeriya. Yana da sauƙi, mai yiwuwa kuma yana da rauni sosai wanda Genevieve Nnaji ya jagoranta. Amma a gefen abubuwa, wasan kwaikwayon ta na ban mamaki, kuma ta sami nasarar haɓaka halayen da kayan gaba ɗaya. Fim ɗin yana da kyau, amma mai ban sha'awa. Zai zama cikakkiyar takara mai yuwuwa ga Academy idan ba a kawar da shi ba saboda an yi fim a cikin harshen Ingilishi.	positive
Wannan fim ne mafi kyau da na taɓa gani! Ina son shi!!!!!	positive
Wani labari mai ban mamaki, da ke cike da tashin hankali zai sa ka yi dariya, kuma wani abu mai ban dariya zai sa ka yi dariya.	positive
A wani abu mai kyau, amma sake yinsa zai fi kyau ga labarin da ya dace. . . . Dole ne in ce ina yaba wa darektan da kuma aikinsa (Ramsey Nouah).	positive
100% akan ma'anar. haka daidai n haka da kyau buga kowa ya kasance mai ban mamaki. sa daya alfahari ure Najeriya 👏👍😘	positive
Yana da kyau mu sake ganin Sam Dede a allonmu, kuma mu ga har yanzu shi ne masanin sana'arsa, yana ba mu wasan kwaikwayo mai ban mamaki. Inda akwai Stella Damasus, za ka iya tabbata ka ga wasu hawaye na gaske, da hotuna na motsin rai, kuma ta ze zama marar shekaru.	positive
Cikakken ... wannan fim ne da ya kamata a gani! Ba zan iya faɗi fiye da haka ba.	positive
Abin ban sha'awa ne yadda waɗannan haruffa suke furta game da dangantakarsu da kuma yadda suke kame fushinsu a irin waɗannan yanayi na motsin rai.	positive
Abin sha'awa ne a gano yadda aka rubuta waƙar Amazing Grace.	positive
Wannan fim ɗin ya taɓa zuciyata sosai don na san cewa Allah yana da alheri sosai!	positive
Ba wai kawai shirin ba ya kama hankalin mai kallo, amma wasan kwaikwayon shi ne mafi talauci, mafi rashin rinjaye.	negative
Wannan fim din yana da tsayi da ban dariya, har ma da kiɗan baya yana da taushi, kuma babu abin da za a iya yi don ceton fim ɗin.	negative
Hanya mai kyau don ɓata ranarka gaba ɗaya	negative
abin damuwa	negative
Batutuwa a cikin Swallow za su sa kowa ya yi kuka - talauci, cin zarafin jima'i, sayar da miyagun ƙwayoyi, cin hanci da rashawa - amma fim din da dukkan haruffa suna da tsawo kuma ba su da motsin rai.	negative
Ko da yake wasan kwaikwayon na musamman yana da ban sha'awa, rashin jituwa na Farming yana rufe labarin mai ban sha'awa, yana sa ya zama mai sa ido mai wuya fiye da yadda ya kamata.	negative
Rashin daidaito na labarin da kuma tsattsauran ra'ayi na asiri sun kasance masu ban tsoro don a cece su	negative
Ko da ma'aikatan gidan fim da ba su biya ba, suna ihu.	negative
Ƙarfin da ake yi a gona yana da ƙarfi kuma yana sa mu baƙin ciki sosai.	negative
Hanya ce mai ban tsoro na fara shekara; 'Akpe' ba daidai ba ne.	negative
Wataƙila ba za ka ƙi jinin kanka ba don ka ga 'SuperStar' amma za ka bar jin ƙyama & koma.	negative
Ba zai zama daidai ba ga dukan 'yan wasan kwaikwayo da kuma tawagar idan na bar wannan daya.	negative
Kamar sauran ayyukan da suka yi kuskure kamarsa, an yi 'Knock Out Blessing' ne da farko don yin amfani da kai na masu samar da shi maimakon faranta wa masu sauraron Najeriya rai.	negative
Akinnuoye-Agbaje ta ɗan numfashi rubutun ba ya taba samun rike da wanda Eni ne	negative
An kashe minti hamsin a tallata wani wurin shakatawa a Legas, fim din ya rufe.	negative
Abin kunya ne, 'The Island' ɓataccen baiwa ce.	negative
idan na ce maka, cewa wannan fim ne mai ban mamaki, zan kasance ƙarya.	negative
Bayan an manta da jinkirinsa, ainihin matsalar da 'Funke' ke da ita ita ce ta kasance mai ban sha'awa da rashin jin daɗi.	negative
Ba a ba da shawarar ba!	negative
A ƙarshe, wannan kyauta ce mai banƙyama da bai kamata a kawo ta a cinema ba.	negative
Aikin da aka yi yana da kyau, sama da matsakaici. launuka suna da haske. kuma yin wasa ba mummunan abu ba ne. Matsalar ita ce rashin cikakkiyar ƙarfin tunani a cikin labarin & labarin. Misali mai sauri zai isa:	negative
Yawan laifuffukan da wannan yaro mai shekara shida ya aikata a lokacin wannan fim din ya zama da yawa don a lissafa	negative
Ya dace da yara masu shekara 14, an yi shi kamar labarin Disney mai tsabta, mai tsabta da kuma mara kyau.	negative
Akwai wasu abubuwan ban dariya da kuma lokacin da ake samun makamashi mai sauƙi, amma yana da nisa sosai, tare da nau'o'in wasan kwaikwayo da kuma jagorancin da suke kama da talabijin na yamma.	negative
Matsakaicin.	negative
Amma rashin alheri, wadannan haske lokatai sun kasance kawai kadan kuma nisa daga gare su su tabbatar da biyan kudi mai tsanani ga ganin wannan	negative
Bugu da ƙari, wasan kwaikwayo tsakanin Joseph da matarsa ya takaita a dabi'a amma ina jin kamar wannan ya fi takaddama fiye da fim...	negative
Saboda haka, masu sauraro suna jin sautin dogon da gajeren tsawa	negative
Babu wanda ya cancanci kallon wannan fim ɗin	negative
snooze fest, ba labari mai yawa, waƙoƙin sauti masu ban dariya	negative
ƙara mummunan ADR, da matsakaici zuwa mummunan aiki, kuma kana da - wani mafarki mai ban tsoro.	negative
Ba zai tafi daidai ba a lokaci guda, amma la'ana idan masu shirya fina-finai ba su rasa zaren da kuma tuntuɓe da lurch da kuma pad wannan abu har su Nollywood fim ne Bollywood tsawon, ba tare da hankali, zafi ko abun ciki don tabbatar da shi	negative
Ba shi da kyau, ba shi da kyau, yana da ban sha'awa kuma yana da wauta!	negative
Wani fim na farko da ba shi da kyau, amma yana nuna alkawari mai yawa	negative
Game da wannan fim din #KOB Ba zan iya cewa mafi kyau ko mafi muni ba fiye da sauran Nollyhood,	negative
Made in Heaven fim ne mai wauta. yana da wauta sosai, zai sa ka fushi har sai ka fara dariya daga takaici. Za ka gaji sosai ka gani, ba zato ba tsammani za ka ga kanka kana jin kamar kana jin daɗin wautar wannan fim ɗin.	negative
Yana da jinkirin motsawa, yana da kyau kuma yana dauke da wasu sanyi amma ƙarshen ba shi da gafara	negative
Idan babu irin wannan hadari mai kyau, kada ka yi amfani da wannan 'Dagger' don ka ƙulla wa jakarka a zuciya.	negative
Idan na ce cewa motsi don wasan kwaikwayo yana juya abun cikinmu zuwa shit, wannan misali ne mai kyau.	negative
Idan ka kalli Babban Daddy: Going For Broke a ranar sabuwar shekara ta fitowa a Netflix kuma nan da nan ka yi tunanin cewa zai zama mai neman fim mafi muni na shekara, ka sani cewa laifin ba naka ba ne;	negative
Ba shi da kyau kuma yana sa ka baƙin ciki!	negative
snooze fest, ba labari mai yawa, waƙoƙin sauti masu ban dariya	negative
Fim din bai kasance mai girma ba, dan kadan na wuce gona da iri na 'yan wasan kwaikwayo (watakila an yi wa'azinsa fiye da kima?) amma mahallin ya kasance mai girma.	negative
Karancin inganci don irin wannan babban kasafin kuɗi	negative
Kyakkyawan labari, mummunan aikin bayan-sarrafawa.	negative
Ba a ba da shawarar ba.	negative
Babban labari, rashin yin wasa.	negative
Wani fim mai taurari wanda ya sa taurari su yi kama da suna yin wasan kwaikwayo na makarantar yara	negative
Ba a ba da shawarar ba.	negative
Abin kunya, abin kunya, abin kunya mai haske.	negative
Wannan fim din yana sa na so in ji daɗin shi sosai, amma yana da wuya a ji daɗin shi a cikin rubutun da Genevieve Nnaji ya rubuta.	negative
Tabbas, daya daga cikin mafi munin fina-finai masu ban tsoro da aka yi...	negative
Idan muka yi magana game da wasan kwaikwayo, rubutun labarin, wani abu ne na wannan duniya	negative
"Ko da yake an rubuta shi da ƙarya a matsayin ""Horror"", 'Bridal Shower' ba fim ne na ban tsoro ba."	negative
Ba shi da amfani - cin kuɗi da yawa.	negative
Babban Abin Rashin Gwaji	negative
Abin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin	negative
Mai ban sha'awa amma marar iyawa	negative
An lalata fim din 'The Perfect Picture' saboda rashin adalci, amma ya zama mai nisa da zama cikakke.	negative
Wannan fim ɗin ya dace da makarantar sakandare.	negative
amma sauti da kiɗa sun kasance da mummunar gaske cewa sun lalata duk wani abu mai kyau	negative
Ban kalli wannan ba, ko da na biyu ba, ba shakka, daga wata ƙasa ta Afirka ba tare da masana'antar fim ba.	negative
Labari mai kyau, rashin aiwatarwa	negative
Ayyukan wasan kwaikwayon ba su da kyau, waƙar sauti suna maimaitawa, labarin labarin shine... (idan akwai daya da na bayyana shi a nan).	negative
Shirin yana da kyau, amma bangarorin fasaha ba su da kyau.	negative
Yadda ake amfani da littafi mai zurfi da ba a yi amfani da shi ba	negative
"Babu wani abu mai kyau game da ""Wannan wanda ya ɗaure mu"". Babu wani abu."	negative
Wannan fim din yana da wuya amma zuciyarsa ta bace	negative
Da yake mayar da hankali kan dangantakar da ke tsakanin Joseph da Suzy, fim din ya ba da haske kadan game da kisan kai na 13 ga Fabrairu, 1976, wanda ya kawo Olusegan Obasanjo ga mulki.	negative
Wannan ba mutane ne masu tsanani ba, don Allah kada ka saka musu da Naira.	negative
Wannan fim din dole ne ya zama mafi bakin ciki romantic comedy mun taba gani.	negative
Wataƙila mafi munin aikin fim a cikin fim wanda ya zama kamar an yi shi da isasshen kuɗi.	negative
Ya yi jinkiri sosai, wannan ɓata lokaci ne.	negative
Ba zan iya gaskanta na shafe sa'o'i biyu ina kallon wannan fim din ba	negative
Ba na son wannan fim din	negative
Ƙungiyar ta kusan zama banza.	negative
Magana mai rauni, wasan kwaikwayo na wasan kwaikwayo.	negative
Daga mummunan darasi, zuwa labari mai ban tsoro; yin wasan kwaikwayo mai ban mamaki zuwa rashin hankali; rubutun zane mai zurfi zuwa mummunan gyara ..	negative
Wannan fim ɗin yana da ban tsoro.	negative
Baya ga kasancewa mai tsananin tsinkaye kuma yana nuna yawanci a ƙarƙashin aikin kwaikwayo, ana azabtar da shi ta hanyar jerin ƙoƙari na ƙananan ƙoƙari na sake yin amfani da kayan aikata laifuka.	negative
Na ƙi jinin yadda aka rubuta wannan fim ɗin.	negative
Ba a san shi ba, kuma mai ban tsoro, 'Efunsetan Aniwura' wani labari ne na kyauta mai laushi da kuma mummunan labari.	negative
Ina da farin ciki	negative
Rashin Hotunan Hotunan fina-finai na Nolllywood	negative
KYAUTA KYAUTA	negative
Wannan fim din ya yi alkawari sosai amma ya zama abin dariya.	negative
Suna amfani da katunan suna da kyau don gabatar da haruffa...	negative
A yawancin lokaci fim din ya yi kama da kwance kuma yana da tsayi.	negative
Ya yi alkawarin dariya, amma wasan kwaikwayo ya kasance mai ƙaranci kuma ya jawo murmushi maimakon dariya mai zurfi da kake tsammani lokacin da ka je cinema don wasan kwaikwayo.	negative
Abigail ba ta da kyau sosai, mutumin da ya aikata mugunta yana da ɗan ƙarancin gemu, kuma sun fahimci cewa ba shi da kyau ga baƙar fata su koma baya a lokaci	negative
Babban rawar mace babban abin takaici ne.	negative
Ƙarshen shi ne kawai abin da ya fi ban sha'awa a gare ni.	negative
Wannan abin kunya ne kuma abin kunya ne ga CNA.	negative
Wani fim da aka yi a jirgin kasa. Minti 90 na gyara sauti da yin fim.	negative
Na yi mamakin (a wannan yanayin) idan ya zama mafi kyau a 2021?	negative
"""Knock Out Blessing"" fim ne da bai kamata a yi shi ba, ko kuma aƙalla ba a fito da shi ga jama'a ba."	negative
Ba lallai ba ne ya daɗe.	negative
A lokacin da aka yi wa 'yan wasan kwaikwayo masu son yin fim, ba su da wani jagora daga Akinropo.	negative
Suga Suga yana da yawa da ido rolling scene cewa a karshe ƙare a wani anticlimactic warware wani rauni rikici.	negative
Abin takaici, Enitan ya koma daga ruhun da ya ɓace zuwa malamin kuma yanzu an tura wani mai zane a cikin minti na ƙarshe da suka rage bayan duk ɓacin rai.	negative
Na farko Nigerian fim. . . . a cikin shekaru da yawa da suka gabata, na zo kan wani yawan rahotanni da ke nuna yadda kasar Najeriya ke da nasarar cinikin gida. Duk da cewa wannan gaskiyar ta shagaltar da ni, ban sami wani fim din Najeriya da zan iya kallo ba har sai da na yi tuntuɓe da wannan a Netflix. Gaskiya ne, ina tsammanin wani abu mai kyau da aka yi, kuma a babban mataki wannan gaskiya ne. Duk da yake akwai wasu kyawawan hotunan da aka tsara da / ko shugabanci wanda ke nuna cewa a wasu lokuta wasu masu shirya fim suna yin ƙoƙari na gaske, fim din yana da ƙarancin lahani. Hoton fim ɗin ba shi da ban sha'awa, akwai ƙarancin abu a hanyar ƙimar samarwa, kuma wasan kwaikwayon da yawancin masu yin fim suka yi shi ne mai son sha'awa. A gaskiya, na kasance mai ban sha'awa don gafar duk abin da ya faru da fim ɗin bai yiwu ba, cewa kasancewa a cikin wani lokaci mai tsawo da yawa da kuma ba a iya gani ba, amma idan kun ji labarin da yawa a cikin wani lokaci mai tsawo da yawa, yana da kyau sosai a faɗi shi (duk da cewa yana da ɗan gajeren lokaci da yawa) kuma idan kun ji da hankali sosai a cikin fim din, har yanzu yana da yawa da kuma yana da yawa.	negative
Abin takaici, ba za mu iya jurewa da bindigogi na 'yan cowboy, bindigogi na sararin samaniya, kayan ado da aka yanke da kuma yin sutura, yin fim da ba shi da basira da kuma bukukuwan tunawa da abubuwa masu tsawo da ba su da kyau don hotunan da aka nuna a baya duk an cika su da wahayi marasa hankali na masu tsoratarwa da ake zaton sun kasance a fili tun daga farko.	negative
Abin takaici, fim din yana da sau da yawa mai girma da jinkiri tare da wasu lokuta masu ban sha'awa na bayyanawa.	negative
Fim din bai kasance mai girma ba, dan kadan na wuce gona da iri na 'yan wasan kwaikwayo (watakila an yi wa'azinsa fiye da kima?) amma mahallin ya kasance mai girma.	negative
A cikin dare, ba abin da ya dace ba ne.	negative
A gaskiya, ba ka da ra'ayin wuri ko hali domin dole ne a rufe abubuwa da yawa don su dace da dukan abu.	negative
Wannan fim din yana da ban sha'awa sosai ga cinema.	negative
mummunan	negative
Mun kira shi sace-sace-An tsare mu a matsayin fursunoni na minti 50, an tilasta mana yin tafiya a wuraren shakatawa, ba a ba da shawarar ba.	negative
Shin wani ya aika da rubutun da ya gaza na Netflix zuwa Najeriya kamar dai shi ne rigar da kungiyar Super Bowl ta rasa?	negative
Magana mai karfi da kuma mummunan aiki sune alamun wannan mai nuna bambanci - Zai iya zama baƙon abu amma; wannan fim din kamar karya ne na 'Isoken'.	negative
Wannan fim ɗin baƙar magana ce.	negative
Wannan shi ne mafi munin fim da na taɓa gani a rayuwata!	negative
Ayyukan da aka yi ba su da kyau kuma zuciyarsa tana wurin da ya dace, amma yana da zafi sosai a wasu wurare.	negative
Ko da yake fim din ya yi kama da na sana'a, kada ka bar wannan fim din ya yaudare ka.	negative
Babu kai, babu wutsiya, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba daidai ba ne, ba daidai ba ne, ba daidai ba daidai ba ne.	negative
Kyakkyawan tauraron su ba su da kyau a wannan fim	negative
Wannan shi ne abin da ya faru	negative
Shari'a: Ba a ba da shawarar ba.	negative
Ya yi takaici... wasu lokuta na yin wasan kwaikwayo daga manyan 'yan wasan kwaikwayo (sarkin da Amina), amma mai goyon baya actor (Maladi), wuya a san idan ya comic taimako saboda ya rawar da ya kamata ya zama tsanani.	negative
Ba a ba da shawarar ga kowa ba, har ma da yara.	negative
Ka sa hannuwanka a ƙasa ɗaya daga cikin mafi munin fina-finai na taɓa gani	negative
Mafi munin sake yin fim din.	negative
Wani abu daga NETFLIX.	negative
Ƙarƙashin ƙyama	negative
Na yi wannan. Ba zan iya kallon dukan abu	negative
Za ka yi nadama da ka ɓata lokacinka ka kalli wannan fim din	negative
Talakawa	negative
Ƙananan abu ne.	negative
'Miliyoyin' a zahiri sata ce ta cinikayya ta 'sarufin fina-finai na Ocean'; ba mu yi mamaki ba.	negative
Gbarada' wani fim ne na Yoruba na Idumota wanda ya ƙunshi dukan hauka da ke tattare da wannan ɓangaren Nollywood.	negative
Mai Tsarki na Isra'ila! ... Mene ne Genevieve ta yi tunanin ta yi?	negative
Mafi munin fim da aka yi	negative
Kawai shãfe	negative
Special Jollof wani turkey ne daga Nollywood a cikin Diaspora. kuma kamar yadda aka saba; an nuna shi ta hanyar wani labarin yayé da kuma yawan wasan kwaikwayo na wasan kwaikwayo. Babu wani abu da za a gani a nan.	negative
Zan iya cewa Luna ta yi shiru da tabbaci cewa labarin ya fi na shugaban Daddy 2 ban sha'awa.	negative
Ban san yawan hadarurrukan jirgin sama da aka yi a Najeriya ba, kuma an fitar da wannan fim din bayan kwanaki biyar	negative
Wannan fim din zai yi kyau idan aka ba da ƙarin kuɗi ,	negative
Ba tare da wani tsari ba kuma ba tare da wani abu mai ban mamaki ba, wannan dogon, mai wuya ne wanda abokai da dangi na waɗanda ke cikin cast da crew za su fi godiya	negative
Ba ya cancanci lokacinka	negative
Abin banza ne, ba na yawan daina yin fim, ban iya gama wannan ba, na daina bayan minti 30.	negative
a ƙarshe ya rage fim din gaba daya don abin da zai iya zama mafi karfi, mai wuya da kuma motsawa motsin rai roller coaster.	negative
Abin takaici rashin kulawa ga daki-daki bai tsaya ba tare da misalai da aka ambata a sama.	negative
Abin da ke cikin gidan nan yana cike da taurari, amma ba ya haskakawa.	negative
Wannan fim ɗin yana da ban sha'awa.	negative
Wannan fim ne mai ban tsoro da ban tsoro	negative
An san shi da wauta, 'Mai Laifin' cikakke ne kuma banza ne!	negative
Dole ne in kalli shi don dalilai na ilimi.	negative
Ya yi jinkiri sosai, wannan ɓata lokaci ne.	negative
Abin da ke faruwa.	negative
Wannan fim ɗin mummunan kwai ne ga Nollywood.	negative
Na kama kwaro na Nollywood yayin da nake kallon Rattlesnake.	negative
Da dukan abin da ya fi ban dariya da kuma wasan kwaikwayo da ke motsawa tsakanin yin aiki da yawa da kuma yin aiki mara kyau.	negative
An yi fim a ko'ina, kuma yawancin haruffa ba su cika ba.	negative
ɓata lokaci da albarkatu	negative
Za ka ƙi shi	negative
Labari mai kyau amma ɓata lokaci ne na awanni biyu	negative
Ka yi ƙoƙari sosai; 'Mai Girma' ya nuna cewa ba shi da iko sosai, ya kasa cika alkawuransa na yakin neman zabe.	negative
